eventID,thickness_um,bn_wt,zns_wt,capture_x_um,capture_y_um,corr_x_um,corr_y_um,depth_um
0,230,1,2,-1242.4,1066.51,0,0,97.1169
2,230,1,2,-3019.23,-2251.74,0,0,64.0945
5,230,1,2,1428.82,-4439.83,0,0,89.4012
9,230,1,2,-671.186,-4712.26,0,0,116.336
11,230,1,2,2681.97,3245.01,0,0,70.396
13,230,1,2,785.418,-3519.01,0,0,54.4277
14,230,1,2,-1875.35,550.076,0,0,109.876
15,230,1,2,-3543.47,-3428.89,0,0,105.518
20,230,1,2,4412.51,500.107,0,0,10.6769
22,230,1,2,-596.358,-1665.63,0,0,98.9224
25,230,1,2,-4113.93,-4061.11,0,0,126.504
28,230,1,2,-898.75,4841.17,0,0,81.9286
38,230,1,2,-712.24,-1428.99,0,0,208.644
40,230,1,2,-733.962,-3043.03,0,0,160.401
41,230,1,2,2853.58,-509.279,0,0,201.178
46,230,1,2,4649.62,1438.67,0,0,133.724
47,230,1,2,-2229.21,-1987.33,0,0,210.139
49,230,1,2,-3060.1,2748.32,0,0,92.4606
56,230,1,2,4012.72,4264.13,0,0,181.365
59,230,1,2,-1516.33,-1324.21,0,0,92.3009
65,230,1,2,-919.747,102.122,0,0,109.557
87,230,1,2,2434.99,2885.3,0,0,17.9012
89,230,1,2,500.957,2303.6,0,0,137.056
92,230,1,2,-1756.78,-4218.09,0,0,193.02
93,230,1,2,-1801,2397.9,0,0,23.1127
94,230,1,2,3317.84,567.554,-101.933,-126.842,128.622
96,230,1,2,-4869.37,-4326.81,0,0,181.67
102,230,1,2,-586.925,1630.66,0,0,110.163
103,230,1,2,-895.804,1780.1,0,0,145.656
110,230,1,2,3506.03,-2416.94,0,0,15.6475
130,230,1,2,-1289.76,2624.48,0,0,22.0248
131,230,1,2,4240.68,-107.535,0,0,149.272
138,230,1,2,-886.893,210.36,526.971,-690.839,68.7995
160,230,1,2,-796.933,-3519.48,0,0,147.397
164,230,1,2,-3362.78,-3684.39,0,0,145.308
165,230,1,2,-3654.73,-1425.66,0,0,56.8731
175,230,1,2,4862.46,-265.979,0,0,8.38379
184,230,1,2,-4374.85,-569.646,0,0,45.4674
194,230,1,2,-3858.87,1594.22,0,0,142.871
198,230,1,2,-104.181,-2890.74,0,0,29.1188
202,230,1,2,-4153.77,-2852.65,0,0,87.2777
214,230,1,2,-164.46,4698.43,0,0,33.2915
216,230,1,2,-86.7783,1533.65,0,0,14.9035
221,230,1,2,-2178.98,176.033,0,0,137.257
224,230,1,2,-2485.82,2350.52,0,0,204.112
225,230,1,2,-2415.95,-3370.19,0,0,67.4387
227,230,1,2,-2250.97,593.55,0,0,20.9135
229,230,1,2,2259.84,2680.9,0,0,64.778
234,230,1,2,1440.67,1387.89,0,0,6.90056
240,230,1,2,587.009,-2263.75,0,0,158.161
269,230,1,2,-2945.54,-2362.93,0,0,119.566
275,230,1,2,4650.38,1909.47,0,0,31.053
276,230,1,2,-2538.34,-794.932,0,0,80.8288
282,230,1,2,-3279.68,2830.4,0,0,0.277535
284,230,1,2,1007.16,1138.25,0,0,89.2045
285,230,1,2,2881.63,-638.605,0,0,202.627
292,230,1,2,4876.37,-1197.9,0,0,77.0338
309,230,1,2,4232.64,2333.91,0,0,11.0501
314,230,1,2,3826.74,-2028.36,0,0,220.869
317,230,1,2,2155.09,2001.04,0,0,28.4801
320,230,1,2,-3230.99,-3083.68,0,0,25.0202
327,230,1,2,-2686.1,3576.12,0,0,126.78
336,230,1,2,3280.67,1468.17,-32.1286,11.2642,196.635
340,230,1,2,1207.73,3079.89,0,0,145.72
345,230,1,2,3238.75,928.097,0,0,87.0147
347,230,1,2,3401.2,-2291.15,0,0,70.7017
351,230,1,2,-2923.56,-436.807,0,0,19.1212
363,230,1,2,1300.58,4152.16,0,0,71.8573
364,230,1,2,-2643.35,-4736.4,0,0,144.032
377,230,1,2,-4411.74,-261.912,0,0,213.401
378,230,1,2,548.092,-1911.85,0,0,211.446
380,230,1,2,4179.73,2571.06,0,0,21.0755
381,230,1,2,4321.34,783.17,0,0,87.5266
382,230,1,2,-1673.35,-4468.62,0,0,40.7484
386,230,1,2,2712.04,-15.6218,0,0,143.842
396,230,1,2,-1723.91,-3787.06,0,0,145.364
398,230,1,2,2585.92,-851.185,0,0,130.487
399,230,1,2,3299.11,2110.47,0,0,110.938
403,230,1,2,474.144,79.014,0,0,117.671
418,230,1,2,-193.238,4331.84,0,0,193.898
419,230,1,2,-2302.97,3758.47,0,0,150.724
426,230,1,2,-862.327,-619.131,0,0,50.7584
427,230,1,2,1831.1,511.399,0,0,37.8349
431,230,1,2,-849.79,-4306.57,0,0,154.333
445,230,1,2,-3722.08,-261.258,0,0,107.231
449,230,1,2,-4681.01,761.729,0,0,124.224
460,230,1,2,2253.56,1590.7,0,0,14.9006
464,230,1,2,-780.943,4827.6,0,0,58.156
467,230,1,2,3148.22,3229.39,0,0,204.976
468,230,1,2,2485.79,3405.49,0,0,63.664
469,230,1,2,-213.837,2428.42,0,0,56.7247
481,230,1,2,-235.87,558.07,0,0,114.897
487,230,1,2,4757,4106.21,0,0,57.6464
495,230,1,2,4686.62,4612.5,0,0,78.1469
500,230,1,2,-2097.37,-3081.7,0,0,129.075
509,230,1,2,148.689,1059.86,0,0,183.819
512,230,1,2,-2084.42,815.518,0,0,90.0308
516,230,1,2,-1885.73,-1274.85,0,0,215.256
522,230,1,2,3135.22,4367.09,0,0,94.7573
523,230,1,2,-4752.48,-2817.58,0,0,162.636
524,230,1,2,3323.45,-2793.11,0,0,91.3448
540,230,1,2,-920.979,1404.95,0,0,149.538
541,230,1,2,-4036.3,1812.48,120.086,-48.9719,194.798
542,230,1,2,1011.44,-1367.24,0,0,51.9914
