thickness_um,n_incident,n_absorb,n_transmit,total_neutron_track_length_um,sigma_eff_mode,sigma_eff_per_um,sigma_eff_per_cm,sigma_eff_manual_input_per_um,sigma_eff_manual_input_per_cm,absorb_efficiency,transmission_efficiency,other_loss_efficiency,attenuation
1,100000,109,99887,99952.6,geant4_default_hadronic,0.00109052,10.9052,0,0,0.00109,0.99887,4e-05,0.00113
2,100000,209,99781,199877,geant4_default_hadronic,0.00104564,10.4564,0,0,0.00209,0.99781,0.0001,0.00219
3,100000,259,99734,299671,geant4_default_hadronic,0.00086428,8.6428,0,0,0.00259,0.99734,7e-05,0.00266
5,100000,485,99491,499217,geant4_default_hadronic,0.000971522,9.71522,0,0,0.00485,0.99491,0.00024,0.00509
10,100000,1049,98915,997600,geant4_default_hadronic,0.00105152,10.5152,0,0,0.01049,0.98915,0.00036,0.01085
15,100000,1527,98421,1.49164e+06,geant4_default_hadronic,0.00102371,10.2371,0,0,0.01527,0.98421,0.00052,0.01579
20,100000,2065,97868,1.98548e+06,geant4_default_hadronic,0.00104005,10.4005,0,0,0.02065,0.97868,0.00067,0.02132
30,100000,3077,96830,2.96344e+06,geant4_default_hadronic,0.00103832,10.3832,0,0,0.03077,0.9683,0.00093,0.0317
40,100000,3921,95960,3.94454e+06,geant4_default_hadronic,0.000994033,9.94033,0,0,0.03921,0.9596,0.00119,0.0404
50,100000,4900,94943,4.90668e+06,geant4_default_hadronic,0.000998639,9.98639,0,0,0.049,0.94943,0.00157,0.05057
60,100000,6066,93729,5.85887e+06,geant4_default_hadronic,0.00103535,10.3535,0,0,0.06066,0.93729,0.00205,0.06271
70,100000,6872,92913,6.81239e+06,geant4_default_hadronic,0.00100875,10.0875,0,0,0.06872,0.92913,0.00215,0.07087
80,100000,7786,91953,7.74437e+06,geant4_default_hadronic,0.00100538,10.0538,0,0,0.07786,0.91953,0.00261,0.08047
90,100000,9025,90723,8.67459e+06,geant4_default_hadronic,0.00104039,10.4039,0,0,0.09025,0.90723,0.00252,0.09277
100,100000,9712,89997,9.57658e+06,geant4_default_hadronic,0.00101414,10.1414,0,0,0.09712,0.89997,0.00291,0.10003
125,100000,12131,87534,1.18708e+07,geant4_default_hadronic,0.00102192,10.2192,0,0,0.12131,0.87534,0.00335,0.12466
150,100000,14135,85482,1.41014e+07,geant4_default_hadronic,0.00100238,10.0238,0,0,0.14135,0.85482,0.00383,0.14518
175,100000,16515,83046,1.6234e+07,geant4_default_hadronic,0.00101731,10.1731,0,0,0.16515,0.83046,0.00439,0.16954
200,100000,18554,80946,1.83292e+07,geant4_default_hadronic,0.00101226,10.1226,0,0,0.18554,0.80946,0.005,0.19054
225,100000,20950,78500,2.0382e+07,geant4_default_hadronic,0.00102787,10.2787,0,0,0.2095,0.785,0.0055,0.215
250,100000,22552,76880,2.24522e+07,geant4_default_hadronic,0.00100444,10.0444,0,0,0.22552,0.7688,0.00568,0.2312
275,100000,24628,74744,2.43621e+07,geant4_default_hadronic,0.00101091,10.1091,0,0,0.24628,0.74744,0.00628,0.25256
300,100000,26575,72770,2.62511e+07,geant4_default_hadronic,0.00101234,10.1234,0,0,0.26575,0.7277,0.00655,0.2723
325,100000,28633,70682,2.81055e+07,geant4_default_hadronic,0.00101877,10.1877,0,0,0.28633,0.70682,0.00685,0.29318
350,100000,30717,68586,2.98585e+07,geant4_default_hadronic,0.00102875,10.2875,0,0,0.30717,0.68586,0.00697,0.31414
375,100000,32260,67024,3.1686e+07,geant4_default_hadronic,0.00101811,10.1811,0,0,0.3226,0.67024,0.00716,0.32976
400,100000,33976,65281,3.34268e+07,geant4_default_hadronic,0.00101643,10.1643,0,0,0.33976,0.65281,0.00743,0.34719
500,100000,40458,58698,3.99319e+07,geant4_default_hadronic,0.00101318,10.1318,0,0,0.40458,0.58698,0.00844,0.41302
700,100000,51876,47117,5.0953e+07,geant4_default_hadronic,0.00101812,10.1812,0,0,0.51876,0.47117,0.01007,0.52883
1000,100000,65077,33818,6.37172e+07,geant4_default_hadronic,0.00102134,10.2134,0,0,0.65077,0.33818,0.01105,0.66182
