eventID,thickness_um,edep_keV
8,500,2312.91
10,500,2319.52
14,500,2316.73
15,500,2317.2
18,500,2312.91
19,500,2314.36
20,500,2312.9
25,500,2314.34
26,500,2313.44
27,500,2319.66
28,500,2312.91
30,500,2597.72
33,500,2315.96
38,500,2316.81
44,500,2790.12
46,500,2312.91
50,500,2312.91
51,500,2317
52,500,2311.95
61,500,2312.91
65,500,2312.9
70,500,2315.18
71,500,2314.5
73,500,2319.16
75,500,2312.91
78,500,2312.91
80,500,2314.16
81,500,2317.1
84,500,2315.36
85,500,2317.49
88,500,2312.91
91,500,2313.51
96,500,2315.91
104,500,2317.16
108,500,2317.99
112,500,2312.91
116,500,2317.45
123,500,2319.8
125,500,2312.91
126,500,2311.36
128,500,2315.15
133,500,2312.91
137,500,2316.37
140,500,2318.06
142,500,2316.82
148,500,2312.91
153,500,2312.91
154,500,2312.91
156,500,2312.91
162,500,2312.91
163,500,2318.78
164,500,2312.91
165,500,2312.91
166,500,2312.91
167,500,2311.83
171,500,2312.91
172,500,2315.05
174,500,2319.86
178,500,2319.19
181,500,2312.91
189,500,2318.06
193,500,2319.8
195,500,2312.91
198,500,2312.91
199,500,2312.91
203,500,2315.85
205,500,2312.91
209,500,2319.49
212,500,2319.87
215,500,2312.91
216,500,2312.91
220,500,2790.12
221,500,2312.78
224,500,2312.91
230,500,2313.84
231,500,2312.91
232,500,2313.01
233,500,2315.44
235,500,2317.88
237,500,2312.75
239,500,2312.91
240,500,2312.91
241,500,2313.85
242,500,2317.42
245,500,2312.91
249,500,2316.17
255,500,2375.55
264,500,2316.56
269,500,2311.78
272,500,2317.96
273,500,2312.91
276,500,2315.11
278,500,2312.91
286,500,2312.91
291,500,2312.91
297,500,2318.76
299,500,2318.77
301,500,2311.43
302,500,2312.9
312,500,2315.61
313,500,2319.45
314,500,2790.12
317,500,2318.48
320,500,2316.85
323,500,2316.93
325,500,2312.91
326,500,2312.91
327,500,2317.23
328,500,2312.1
332,500,2312.91
337,500,2313.03
339,500,2318.32
340,500,2318.76
343,500,2319.56
345,500,2315.78
350,500,2317.69
355,500,2312.91
359,500,2312.91
366,500,2311.66
368,500,2314.19
370,500,2312.91
372,500,2319.13
375,500,2309.13
377,500,2318.93
381,500,2318.45
382,500,2312.91
384,500,2314.86
386,500,2315.19
387,500,2312.91
388,500,2312.91
391,500,2312.91
392,500,2315.68
407,500,2315.68
411,500,2317.52
413,500,2313.04
423,500,2790.12
430,500,2790.12
432,500,2314.2
438,500,2312.91
439,500,2312.9
440,500,2312.91
441,500,2312.91
443,500,2311.45
445,500,2312.91
448,500,2790.12
452,500,2312.91
453,500,2311.63
456,500,2319.34
459,500,2312.91
460,500,2316.48
467,500,2313.83
468,500,2316.15
470,500,2312.91
474,500,2312.91
475,500,2312.91
476,500,2312.91
477,500,2312.91
482,500,2314.35
