thickness_um,n_incident,n_capture,n_transmit,total_neutron_track_length_um,sigma_eff_per_um,sigma_eff_per_cm,capture_efficiency,transmission_efficiency,other_loss_efficiency,attenuation
50,10000,480,9480,495465,0.000968786,9.68786,0.048,0.948,0.004,0.052
100,10000,874,9065,962333,0.00090821,9.0821,0.0874,0.9065,0.0061,0.0935
150,10000,1274,8677,1.41097e+06,0.000902924,9.02924,0.1274,0.8677,0.0049,0.1323
200,10000,1734,8193,1.84667e+06,0.000938988,9.38988,0.1734,0.8193,0.0073,0.1807
230,10000,2002,7923,2.07935e+06,0.000962801,9.62801,0.2002,0.7923,0.0075,0.2077
300,10000,2528,7377,2.63551e+06,0.000959207,9.59207,0.2528,0.7377,0.0095,0.2623
400,10000,3208,6686,3.35486e+06,0.000956224,9.56224,0.3208,0.6686,0.0106,0.3314
