eventID,thickness_um,bn_wt,zns_wt,capture_x_um,capture_y_um,corr_x_um,corr_y_um,depth_um
0,300,1,1,-4371.04,4453.14,0,0,215.344
3,300,1,1,313.638,2318.21,0,0,49.4984
7,300,1,1,724.811,-1164.11,0,0,45.6965
9,300,1,1,-4797.1,3264.77,0,0,224.799
10,300,1,1,4256.29,3941.84,0,0,14.2839
20,300,1,1,-4594.21,-2930.47,0,0,163.92
23,300,1,1,4525.69,4154.29,0,0,156.572
24,300,1,1,-3822.45,4984.76,0,0,271.319
25,300,1,1,-3643.35,56.6769,0,0,268.98
26,300,1,1,-1688.6,3035.48,0,0,185.552
27,300,1,1,-2236.96,83.935,0,0,202.09
30,300,1,1,1267.91,-3293.94,0,0,32.7698
33,300,1,1,610.084,-1040.35,0,0,275.365
34,300,1,1,2175.59,1694.81,0,0,254.678
38,300,1,1,4306.59,1570.74,0,0,41.5585
39,300,1,1,2783.78,-1933.86,0,0,18.2292
41,300,1,1,770.795,4658.2,0,0,155.909
45,300,1,1,331.441,-850.288,0,0,170.248
46,300,1,1,-3254.05,2838.04,0,0,29.5893
48,300,1,1,434.539,-1213.18,0,0,187.253
50,300,1,1,-2847.79,1817.02,0,0,234.397
53,300,1,1,-456.421,-439.215,0,0,2.49733
56,300,1,1,2527.58,2250.33,0,0,177.753
60,300,1,1,4401.02,-1852.33,0,0,92.9057
61,300,1,1,3515.31,3541.15,0,0,158.56
69,300,1,1,3186.94,-146.893,0,0,87.1796
75,300,1,1,-743.771,1287.02,0,0,62.7877
81,300,1,1,-3371.69,1523.08,0,0,157.76
91,300,1,1,-4633.61,1708.71,0,0,202.732
93,300,1,1,-2916.91,-3679.79,0,0,177.594
96,300,1,1,-2957.53,2875.82,0,0,24.8641
100,300,1,1,-4293,-2425.3,0,0,115.802
103,300,1,1,-4228.45,4014.08,0,0,261.33
106,300,1,1,-2812.98,-612.311,0,0,17.4125
107,300,1,1,2389.89,-3060.99,0,0,199.677
111,300,1,1,1223.99,-4724.07,0,0,260.505
113,300,1,1,2275.44,1452.71,0,0,263.974
114,300,1,1,-4844.44,3633.23,0,0,168.246
117,300,1,1,4262.86,-203.149,0,0,138.036
118,300,1,1,-37.5089,3294.12,0,0,167.936
120,300,1,1,287.873,-95.1617,0,0,288.152
121,300,1,1,-2711.05,4445.54,0,0,98.6285
127,300,1,1,-804.225,3202.21,0,0,73.1662
133,300,1,1,-1391.9,4241.98,0,0,257.188
134,300,1,1,1944.07,3602.67,0,0,88.0488
136,300,1,1,3480.45,-1474.17,0,0,254.331
142,300,1,1,2795.59,4399.71,0,0,218.48
143,300,1,1,-1300.23,2783.04,0,0,101.923
145,300,1,1,3397.73,2405.26,0,0,142.04
147,300,1,1,387.149,-383.554,0,0,236.076
149,300,1,1,2351.85,2524.49,0,0,34.6662
153,300,1,1,-3900.17,-3677.41,0,0,53.3898
154,300,1,1,-3227.84,-1925.52,0,0,87.1159
158,300,1,1,-13.8065,-4021.63,0,0,108.676
165,300,1,1,4854.74,-4360.05,0,0,153.941
167,300,1,1,-1025.4,1117.3,0,0,119.133
168,300,1,1,2618.51,1842.61,0,0,47.1001
169,300,1,1,-709.685,-1669.65,0,0,233.431
171,300,1,1,-5.49171,-3072.41,0,0,108.417
174,300,1,1,-2518.49,-2038.62,0,0,164.455
181,300,1,1,-4283.45,-1963.58,0,0,97.6297
183,300,1,1,3637.36,2166.56,0,0,172.327
185,300,1,1,-879.118,-4847.14,0,0,83.4744
186,300,1,1,-1584.21,1483.48,0,0,110.233
187,300,1,1,2095.24,-2797.3,0,0,282.483
188,300,1,1,-1393.76,-3123.31,0,0,290.765
194,300,1,1,773.625,-627.681,0,0,4.81662
198,300,1,1,-1099.68,2864.65,0,0,154.128
200,300,1,1,1251.4,658.51,0,0,177.779
207,300,1,1,1038.53,-215.538,0,0,74.3547
209,300,1,1,947.793,4156.53,0,0,70.9467
211,300,1,1,-2949.2,3953.55,0,0,33.1458
212,300,1,1,4177.7,-3609.1,0,0,201.096
215,300,1,1,3002.48,-2724.38,0,0,268.408
220,300,1,1,804.888,4943.09,0,0,32.2802
223,300,1,1,-3850.92,-4698.7,0,0,55.7876
225,300,1,1,4296.58,3729.39,0,0,52.2584
226,300,1,1,-157.841,-888.498,0,0,203.343
231,300,1,1,1920.14,-1470.66,0,0,268.038
232,300,1,1,1899.83,-1564.39,0,0,172.217
241,300,1,1,-3452.32,-4365.9,0,0,257.065
245,300,1,1,-3589.2,2515.14,-35.4456,11.0706,122.561
246,300,1,1,2293.61,933.231,0,0,267.362
250,300,1,1,3843.03,3871.33,0,0,2.23422
256,300,1,1,2290.68,-4597.34,0,0,21.9337
258,300,1,1,992.974,2099.55,0,0,149.228
261,300,1,1,4668.03,2087.16,0,0,66.8553
266,300,1,1,-2736,-4690.48,0,0,211.169
268,300,1,1,410.012,726.075,0,0,265.89
275,300,1,1,2682.53,-1951.46,0,0,182.708
276,300,1,1,-2490.15,4402.29,0,0,167.381
279,300,1,1,232.541,-2953.55,0,0,100.229
282,300,1,1,-4707.02,-200.263,0,0,79.7773
285,300,1,1,-2998.86,-2209.23,0,0,174.901
287,300,1,1,-2363.92,368.818,0,0,92.9325
291,300,1,1,4900.99,-2809.16,0,0,217.863
299,300,1,1,-4937.65,3238.39,0,0,52.5802
