thickness_um,n_incident,n_absorb,n_transmit,total_neutron_track_length_um,sigma_eff_mode,sigma_eff_per_um,sigma_eff_per_cm,sigma_eff_manual_input_per_um,sigma_eff_manual_input_per_cm,absorb_efficiency,transmission_efficiency,other_loss_efficiency,attenuation
1,100000,129,99867,99948.2,geant4_default_hadronic,0.00129067,12.9067,0,0,0.00129,0.99867,4e-05,0.00133
2,100000,262,99728,199795,geant4_default_hadronic,0.00131134,13.1134,0,0,0.00262,0.99728,0.0001,0.00272
3,100000,381,99608,299454,geant4_default_hadronic,0.00127232,12.7232,0,0,0.00381,0.99608,0.00011,0.00392
5,100000,620,99367,498710,geant4_default_hadronic,0.00124321,12.4321,0,0,0.0062,0.99367,0.00013,0.00633
10,100000,1190,98757,995322,geant4_default_hadronic,0.00119559,11.9559,0,0,0.0119,0.98757,0.00053,0.01243
15,100000,1816,98137,1.49082e+06,geant4_default_hadronic,0.00121812,12.1812,0,0,0.01816,0.98137,0.00047,0.01863
20,100000,2399,97538,1.98282e+06,geant4_default_hadronic,0.00120989,12.0989,0,0,0.02399,0.97538,0.00063,0.02462
30,100000,3714,96172,2.95602e+06,geant4_default_hadronic,0.00125642,12.5642,0,0,0.03714,0.96172,0.00114,0.03828
40,100000,4758,95105,3.92673e+06,geant4_default_hadronic,0.00121169,12.1169,0,0,0.04758,0.95105,0.00137,0.04895
50,100000,5947,93893,4.87575e+06,geant4_default_hadronic,0.00121971,12.1971,0,0,0.05947,0.93893,0.0016,0.06107
60,100000,7152,92653,5.8218e+06,geant4_default_hadronic,0.00122849,12.2849,0,0,0.07152,0.92653,0.00195,0.07347
70,100000,8218,91571,6.75546e+06,geant4_default_hadronic,0.0012165,12.165,0,0,0.08218,0.91571,0.00211,0.08429
80,100000,9488,90251,7.67831e+06,geant4_default_hadronic,0.00123569,12.3569,0,0,0.09488,0.90251,0.00261,0.09749
90,100000,10580,89174,8.57998e+06,geant4_default_hadronic,0.0012331,12.331,0,0,0.1058,0.89174,0.00246,0.10826
100,100000,11577,88147,9.48084e+06,geant4_default_hadronic,0.00122109,12.2109,0,0,0.11577,0.88147,0.00276,0.11853
125,100000,14355,85301,1.16881e+07,geant4_default_hadronic,0.00122818,12.2818,0,0,0.14355,0.85301,0.00344,0.14699
150,100000,16816,82781,1.38826e+07,geant4_default_hadronic,0.0012113,12.113,0,0,0.16816,0.82781,0.00403,0.17219
175,100000,19352,80207,1.59139e+07,geant4_default_hadronic,0.00121604,12.1604,0,0,0.19352,0.80207,0.00441,0.19793
200,100000,22063,77484,1.79527e+07,geant4_default_hadronic,0.00122895,12.2895,0,0,0.22063,0.77484,0.00453,0.22516
225,100000,24561,74901,1.99034e+07,geant4_default_hadronic,0.00123401,12.3401,0,0,0.24561,0.74901,0.00538,0.25099
250,100000,26673,72789,2.18577e+07,geant4_default_hadronic,0.0012203,12.203,0,0,0.26673,0.72789,0.00538,0.27211
275,100000,29240,70174,2.36224e+07,geant4_default_hadronic,0.00123781,12.3781,0,0,0.2924,0.70174,0.00586,0.29826
300,100000,31178,68238,2.54215e+07,geant4_default_hadronic,0.00122644,12.2644,0,0,0.31178,0.68238,0.00584,0.31762
325,100000,33123,66280,2.72311e+07,geant4_default_hadronic,0.00121637,12.1637,0,0,0.33123,0.6628,0.00597,0.3372
350,100000,35419,63880,2.88547e+07,geant4_default_hadronic,0.00122749,12.2749,0,0,0.35419,0.6388,0.00701,0.3612
375,100000,37549,61737,3.05002e+07,geant4_default_hadronic,0.00123111,12.3111,0,0,0.37549,0.61737,0.00714,0.38263
400,100000,39279,60001,3.2081e+07,geant4_default_hadronic,0.00122437,12.2437,0,0,0.39279,0.60001,0.0072,0.39999
500,100000,46465,52735,3.79631e+07,geant4_default_hadronic,0.00122395,12.2395,0,0,0.46465,0.52735,0.008,0.47265
700,100000,58595,40410,4.7581e+07,geant4_default_hadronic,0.00123148,12.3148,0,0,0.58595,0.4041,0.00995,0.5959
1000,100000,71330,27666,5.83026e+07,geant4_default_hadronic,0.00122345,12.2345,0,0,0.7133,0.27666,0.01004,0.72334
