eventID,thickness_um,edep_keV
29,60,2790.12
37,60,2312.06
67,60,2312.91
77,60,2315.24
85,60,2309.09
100,60,2315.12
126,60,2312.91
157,60,2312.91
170,60,2312.9
181,60,2312.91
188,60,2313.09
197,60,2317.35
220,60,2312.91
229,60,2310.99
231,60,2312.91
271,60,2312.91
278,60,2310.47
291,60,2312.91
292,60,2312.9
319,60,2312.91
353,60,2313.16
372,60,2790.12
373,60,2316.88
387,60,2314.88
390,60,2312.91
409,60,2312.9
415,60,2319.08
417,60,1938.22
422,60,2314.1
428,60,2318.64
450,60,2315.49
486,60,2318.93
508,60,2790.12
520,60,2312.91
539,60,2312.91
543,60,2316.04
556,60,2314.43
618,60,2313.21
659,60,2310.82
671,60,2311.01
707,60,2312.9
731,60,2313.98
746,60,2309.32
750,60,2309.11
785,60,2312.92
794,60,2317.13
797,60,2313.13
802,60,2313.44
834,60,2316.99
837,60,2312.91
856,60,2316.4
868,60,2312.9
874,60,2319.05
898,60,1727.58
917,60,2312.91
944,60,2312.91
977,60,2312.91
985,60,2308.97
1012,60,2312.91
1015,60,2317.24
1032,60,2317.37
1036,60,2312.91
1055,60,2312.91
1064,60,2313.81
1073,60,2312.9
1124,60,2316.55
1135,60,2312.9
1141,60,2319.14
1161,60,2312.9
1166,60,2312.91
1184,60,2312.91
1185,60,2319.14
1192,60,2318.25
1241,60,2312.91
1257,60,2312.91
1261,60,2312.03
1276,60,2316
1302,60,2311.91
1304,60,2312.91
1319,60,2256.71
1321,60,2312.31
1340,60,2312.91
1352,60,2314.22
1358,60,2312.54
1376,60,2316.47
1415,60,2314.24
1447,60,2319.75
1480,60,2319.7
1494,60,2319.56
1495,60,2790.12
1504,60,2313.6
1505,60,2312.91
1529,60,2290.45
1548,60,1604.39
1554,60,2312.9
1566,60,2311.96
1574,60,2313.76
1576,60,2312.91
1598,60,2317.93
1614,60,2790.12
1619,60,2318.65
1636,60,2319.64
1638,60,2316.51
1639,60,2312.15
1647,60,2312.9
1663,60,2312.91
1665,60,2313.89
1678,60,2397.12
1683,60,2318.56
1684,60,2317.73
1702,60,2319.13
1729,60,2312.91
1734,60,2309.24
1778,60,2311.69
1783,60,2312.91
1797,60,2102.06
1840,60,2313.06
1872,60,2312.91
1880,60,2310.57
1887,60,2319.69
1913,60,2315.72
1971,60,2231.14
1981,60,1739.31
1983,60,2315.2
2035,60,2312.91
2038,60,2314.77
2040,60,2790.12
2044,60,2312.47
2048,60,2312.01
2119,60,2157.19
2124,60,2318
2159,60,2312.91
2189,60,2309.25
2231,60,2315.89
2234,60,2790.12
2241,60,2790.12
2253,60,2312.05
2258,60,2312.91
2273,60,2312.9
2281,60,2312.91
2284,60,2317.46
2322,60,2315.57
2340,60,2312.91
2351,60,2790.12
2375,60,2312.91
2377,60,2314.95
2381,60,2313.13
2404,60,2313.64
2407,60,2309.19
2412,60,2310.13
2422,60,2318.15
2440,60,2318.2
2489,60,2312.91
2527,60,2312.91
2533,60,2312.91
2553,60,2316.19
2571,60,2319.5
2572,60,2309.28
2583,60,2312.91
2606,60,2309.04
2619,60,2312.91
2624,60,2312.9
2664,60,2319.7
2704,60,2314.36
2710,60,2318.49
2725,60,2310.99
2752,60,2311.55
2783,60,2309.57
2793,60,2117.57
2817,60,2314.36
2827,60,2312.91
2828,60,2312.91
2854,60,2318.54
2858,60,2314.53
2874,60,2312.91
2903,60,2315.98
2927,60,2317.92
2929,60,2309.69
2950,60,1645
2977,60,2790.12
2981,60,2308.91
2985,60,2319.21
2999,60,2312.91
3063,60,2319.01
3070,60,2312.91
3072,60,2317.71
3076,60,2319.7
3086,60,2311.91
3089,60,2312.91
3108,60,2315.24
3183,60,2790.12
3191,60,2312.9
3193,60,2317.23
3217,60,2790.12
3219,60,2315.57
3239,60,2317.62
3244,60,2319.86
3260,60,2318.93
3271,60,2316.73
3284,60,2311.5
3293,60,2312.9
3321,60,2311.11
3339,60,2312.91
3352,60,2318.14
3373,60,2317.68
3410,60,2313.11
3434,60,2312.9
3463,60,2319.42
3509,60,2316.24
3514,60,2312.91
3517,60,2312.91
3530,60,2312.91
3553,60,2318.15
3569,60,2312.9
3630,60,2310.14
3635,60,2315.67
3642,60,2790.12
3650,60,2315.16
3657,60,2313.82
3682,60,2312.91
3684,60,2311.33
3700,60,2319.86
3737,60,2312.76
3740,60,2316.47
3769,60,2312.91
3777,60,2312.91
3779,60,2312.91
3817,60,2312.91
3845,60,2312.91
3883,60,2311.79
3885,60,2319.45
3888,60,2309.66
3923,60,2312.9
3951,60,2312.91
3968,60,2318.17
3970,60,2317.59
3981,60,2312.91
4011,60,2312.9
4027,60,2308.88
4033,60,2313.24
4038,60,2318.97
4039,60,2319.59
4051,60,2311.8
4095,60,2310.1
4096,60,2312.91
4133,60,2790.12
4149,60,1075.8
4179,60,2317.87
4190,60,2311.81
4208,60,2312.91
4220,60,1721.62
4224,60,2315.39
4292,60,2309.29
4293,60,2318.73
4340,60,2312.9
4347,60,2790.12
4368,60,2312.9
4379,60,2312.91
4381,60,2314.78
4412,60,2312.91
4464,60,2316
4469,60,2312.91
4473,60,2312.91
4503,60,2317.26
4515,60,2312.91
4548,60,2315.26
4551,60,2312.91
4554,60,2312.91
4560,60,2315.56
4596,60,2311.57
4603,60,895.901
4615,60,2313.03
4620,60,2312.91
4640,60,2318.47
4642,60,2317.28
4671,60,2316.03
4672,60,2318.33
4676,60,2312.91
4684,60,2313.26
4746,60,2311.18
4752,60,2319.08
4753,60,2309.65
4758,60,2313.39
4762,60,2790.12
4768,60,2312.91
4793,60,2313.23
4802,60,1234.8
4827,60,2790.12
4843,60,2790.12
4847,60,2312.91
4876,60,2312.91
4888,60,2319.74
4902,60,2312.16
4904,60,2314.93
4906,60,2316.13
4908,60,2312.54
4920,60,2312.91
4929,60,2319.58
4936,60,2312.91
4941,60,2312.63
4959,60,2312.91
4966,60,2315.6
4971,60,2317.84
4973,60,2314.72
4989,60,2312.91
4996,60,1912.1
5003,60,2311.87
5005,60,2312.91
5014,60,2318.27
5081,60,2790.12
5104,60,2318.21
5113,60,2314.32
5124,60,2313.85
5127,60,2308.85
5137,60,2314.78
5141,60,2319.57
5172,60,2312.9
5174,60,2311.03
5176,60,2312.91
5205,60,2312.91
5216,60,2311.76
5220,60,2315.58
5229,60,2314.25
5233,60,2312.91
5237,60,2312.91
5251,60,2790.12
5298,60,2312.91
5328,60,2319.58
5338,60,2312.91
5339,60,2313.47
5364,60,2312.12
5374,60,2312.91
5383,60,2318.32
5384,60,2318.71
5389,60,2312.91
5409,60,2319.86
5420,60,2311.33
5424,60,2313.86
5426,60,2312.91
5439,60,2314.64
5440,60,2312.91
