eventID,bn_wt,zns_wt,x_um,y_um,depth_um,alpha_len_um,li7_len_um,edep_keV
75,50,50,9636.1,-69.9112,25.6521,4.164,2.21273,2312.91
76,50,50,-4141.13,-414.189,13.5387,4.16292,2.21661,2313.76
77,50,50,217.473,1750.33,105.525,4.16392,1.88916,2312.9
78,50,50,5909.91,-5287.81,3.1989,4.1634,1.55869,2308.96
79,50,50,4179.4,4092.7,159.163,4.16396,1.85333,2317.85
80,50,50,-9910.01,1241.15,118.621,4.99755,2.48352,2790.12
81,50,50,9784,5354.91,74.3268,4.16376,2.0205,2310.93
82,50,50,-3128.11,8728.69,80.7674,4.1635,2.31771,2310.96
83,50,50,-3895.75,8833.66,90.5243,4.16313,1.41924,2319.02
84,50,50,-9336.33,-4737.91,23.5881,4.16431,1.98737,2312.91
85,50,50,-485.81,-5978.83,141.279,4.1641,1.96429,2311.5
86,50,50,9447.78,393.908,49.8136,4.16271,1.78419,2312.91
87,50,50,-5280.82,8067.77,30.1007,4.16398,1.41602,2312.91
88,50,50,-6084.98,-5226.9,0.677489,2.0066,2.35884,1688.38
89,50,50,-4200.9,-18.8507,2.71372,4.16383,1.41603,2312.91
90,50,50,-1730.14,8555.83,150.562,4.16386,2.00589,2368.22
91,50,50,4457.78,1258.28,70.2697,4.1631,1.41789,2315.12
92,50,50,-902.506,8776.14,2.38683,4.29114,2.39329,2694.22
93,50,50,9412.37,-2768.29,13.7926,4.164,2.19667,2312.91
94,50,50,-275.396,-7723.34,3.89835,4.16381,1.94006,2312.9
95,50,50,8797.18,9362.99,21.2022,4.16446,2.34415,2312.91
96,50,50,-601.461,-3362.26,178.68,4.16443,2.13199,2313.48
97,50,50,6027.36,2899.33,231.444,4.16333,2.30553,2315.62
98,50,50,-5157.79,-8548.49,56.8457,4.16288,2.08023,2472.86
99,50,50,-7039.9,6368.16,27.3028,4.16297,1.70285,2314.09
100,50,50,-8024.64,3499.44,126.986,4.16425,1.41791,2521.7
101,50,50,6427.73,-7094.5,44.2917,4.16424,1.41638,2311.2
102,50,50,7074.84,-9117.78,98.925,4.16315,2.19735,2670.91
103,50,50,6340.76,-3767.67,36.762,4.16404,2.0985,2312.91
104,50,50,8288.36,8523.54,87.4055,4.16354,1.76583,2314.64
105,50,50,5583.3,2080.5,2.99275,4.16288,1.4157,2590.31
106,50,50,5244.45,3620.23,77.8781,4.1635,1.417,2312.69
107,50,50,4884.22,5599.72,5.79106,4.16405,2.21864,2323.3
108,50,50,-6026.47,-9311.59,0.485169,4.16424,0.4988,2107.46
109,50,50,-8969.57,-5582.63,18.2476,4.16398,2.01171,2312.91
110,50,50,7604.71,-89.4615,55.1027,4.16447,2.21992,2313.03
111,50,50,5606.2,5464.65,6.32335,4.16414,2.03507,2474
112,50,50,3541.26,-2747.24,42.375,4.16379,1.89295,2513.67
113,50,50,8774.43,-7220.5,51.3852,4.1643,2.17071,2312.91
114,50,50,-3638.14,-1192.41,15.0449,4.16411,1.41833,2316.77
115,50,50,4376.91,9632.27,73.1291,4.16401,1.96333,2312.91
116,50,50,5764.04,-3379.22,10.9307,4.16304,2.07128,2452.17
117,50,50,6545.3,5157.88,8.02671,4.16369,1.4151,2312.91
118,50,50,-3014.37,-2601.91,26.7174,4.16339,1.88594,2316.94
119,50,50,-7964.04,9764.92,61.0775,4.1641,1.71749,2311.77
120,50,50,-2680.86,7180.69,21.583,4.16357,2.33952,2530.23
121,50,50,6129.42,2569.78,27.1428,4.16391,1.82157,2608.81
122,50,50,7142.86,2072.65,163.367,4.16317,1.41726,2611.63
123,50,50,6054.03,618.173,79.5709,4.16347,2.48327,2317.65
124,50,50,-290.799,6483.81,46.6324,4.16435,1.4189,2318.52
125,50,50,-8475.58,-3102.73,329.288,4.16302,2.35529,2316.39
126,50,50,-2791.66,-6262.94,70.7144,4.16358,1.6257,2314.99
127,50,50,8683.18,2757.69,53.8923,4.1637,1.89668,2437.12
128,50,50,9707.39,-7442.77,204.342,4.16289,1.41656,2311.26
129,50,50,-2463.38,-5163.25,87.4734,4.16367,1.41591,2312.91
130,50,50,-8938.37,-638.969,1.39073,4.16286,1.65443,2309.65
131,50,50,2743.87,-1287.24,316.784,4.16392,1.41539,2615.93
132,50,50,9886.87,9263.82,9.5906,4.16325,1.52284,2314.79
133,50,50,7321.26,-6835.17,51.549,4.16299,1.41534,2312.91
134,50,50,-784.262,-3451.01,0.102434,4.16377,0.107778,1548.47
135,50,50,537.007,-9856.34,41.6064,4.1639,1.89142,2488.54
136,50,50,-1901.79,7597.37,137.99,4.16472,1.74574,2312.91
137,50,50,-8027.73,-4497.77,137.856,4.16418,2.30827,2312.91
138,50,50,7427.22,2111.7,3.85062,4.16319,1.41571,2312.9
140,50,50,2690.32,-7747.88,7.56959,4.16341,1.41724,2313.37
141,50,50,-784.752,8705.86,83.6082,4.16389,2.15788,2311.25
142,50,50,6755.24,-3952.04,150.75,4.16375,2.09328,2313.3
143,50,50,7723.1,5836.05,41.8894,4.16392,1.41479,2347.65
144,50,50,-7496.39,-784.895,3.29811,4.16368,2.30275,2312.91
145,50,50,8137.85,4626.2,57.8697,4.16302,1.41612,2312.91
146,50,50,-8359.05,6813.11,59.9955,4.16414,1.41419,2312.91
147,50,50,6185.02,6967.44,25.3545,4.16318,2.07997,2312.91
148,50,50,327.46,280.042,81.6465,4.16327,1.41485,2446.74
149,50,50,6338.91,6845.41,2.80261,2.87668,1.41895,2195.35
150,50,50,5600.33,917.523,4.5855,4.16351,1.41476,2312.91
151,50,50,461.536,7573.44,25.8801,4.16324,1.52234,2486.05
152,50,50,5687.89,2687.22,18.2606,4.16339,1.41536,2318.43
153,50,50,-3305.58,-1924.72,72.8372,4.16425,1.84178,2312.91
154,50,50,1990.56,-8417.28,57.0457,4.16325,1.41894,2318.22
155,50,50,8163.95,7249.03,5.06886,4.16377,2.33302,2312.91
156,50,50,1616.8,-8618.57,56.1107,4.16385,1.41593,2614.68
157,50,50,3508.32,4799.8,20.6072,4.16425,1.69831,2314.29
158,50,50,6438.08,9078.75,95.7646,4.16383,2.28303,2573.31
159,50,50,-8374.86,9707.79,75.3455,4.9976,2.11399,2790.12
160,50,50,5053.21,5155.95,256.406,4.16412,1.85439,2636.44
161,50,50,5042.62,-1785.83,141.542,4.16312,2.04069,2312.9
162,50,50,3971.74,5447.51,28.3698,4.16407,2.00543,2313.32
163,50,50,-7603.68,-7900.53,119.101,4.16364,1.41879,2317.92
164,50,50,8473.03,-988.663,32.5202,4.16378,1.90743,2312.91
165,50,50,-9301.61,6165.55,104.282,4.16395,2.35879,2314.3
166,50,50,5388.95,7835.4,12.7645,4.16366,1.65397,2312.91
167,50,50,-6869.23,-6233.17,2.42564,4.16399,2.03759,2312.91
168,50,50,7674.36,-1130.01,23.8311,4.16493,1.41484,2312.91
169,50,50,-642.672,-6268.92,222.907,4.16277,1.41639,2312.9
170,50,50,5858.35,1866.79,22.9886,4.16386,1.95799,2455.12
171,50,50,-1057.51,7275.45,29.0871,4.1641,1.67859,2317.3
172,50,50,-208.704,-9092.96,53.8952,4.16377,1.41862,2317.48
173,50,50,-7483.56,-8883.9,25.7813,4.16393,2.12231,2316.92
174,50,50,-7494.48,-3693.94,98.6288,4.16388,1.84194,2312.91
175,50,50,-8427.52,2902.26,252.02,4.16353,1.82772,2312.91
176,50,50,213.379,-6357.55,223.978,4.16381,1.41928,2319.39
177,50,50,2441.34,40.4298,66.7357,4.16411,1.41443,2606.03
178,50,50,6467.39,-1808.43,76.1043,4.16384,2.24338,2314.7
179,50,50,102.605,-5384.06,14.6152,4.16362,1.66793,2356
180,50,50,3197.07,1211.23,23.3735,4.1636,2.29205,2319.13
181,50,50,193.248,2289.96,111.724,4.16386,2.03145,2373.2
182,50,50,3620.53,-7416.03,63.8221,4.16355,1.41869,2317.59
183,50,50,-4022.86,5840.77,82.4122,4.16363,1.41689,2685.5
184,50,50,8186.6,9266.13,46.3622,4.16355,1.41666,2311.74
185,50,50,-7425.15,7342.17,106.021,4.16387,2.18783,2354.39
186,50,50,1039.99,-9886.42,32.934,4.16363,1.41925,2464.66
187,50,50,2096.24,6864.11,16.8795,4.1628,2.00667,2312.91
188,50,50,1430.18,-2546.8,114.779,4.16346,2.17058,2312.91
189,50,50,8936.05,-9231.23,49.2757,4.16305,1.98521,2311.84
