runID,eventID,thickness_um,edep_keV,light_yield_photons,has_capture,bn_wt,zns_wt,source_x_um,source_y_um,capture_x_um,capture_y_um,depth_um
0,2026,100,2317.73,115886,1,50,50,1063.87,-1499.34,1063.87,-1499.34,84.7405
0,2027,100,2316.36,115818,1,50,50,5197.32,-1918.15,5197.32,-1918.15,10.4726
0,2028,100,2318.85,115943,1,50,50,-8395.14,-9042.24,-8395.14,-9042.24,15.98
0,2029,100,2312.91,115645,1,50,50,-7962.86,7226.9,-7962.86,7226.9,50.4868
0,2030,100,2314.77,115738,1,50,50,-2415.78,-9537.39,-2415.78,-9537.39,26.8586
0,2031,100,2312.91,115645,1,50,50,5811.42,-7019.04,5811.42,-7019.04,52.8096
0,2032,100,2312.91,115645,1,50,50,-4693,5425,-4693,5425,42.6567
0,2034,100,2312.91,115645,1,50,50,-561.176,-5348.07,-561.176,-5348.07,98.6201
0,2035,100,2311.43,115571,1,50,50,2658.14,-8268.59,2658.14,-8268.59,37.9803
0,2036,100,2312.91,115645,1,50,50,-3675.24,-6337.33,-3675.24,-6337.33,9.73753
0,2039,100,2790.12,139506,1,50,50,-6474.29,-3192.44,-6474.29,-3192.44,21.3136
0,2040,100,2312.91,115645,1,50,50,8747.38,-2690.3,8747.38,-2690.3,29.0004
0,2043,100,2312.91,115645,1,50,50,-9492.37,-875.684,-9492.37,-875.684,48.4129
0,2044,100,2790.12,139506,1,50,50,-2483.78,-4924.79,-2483.78,-4924.79,63.8333
0,2046,100,2317.35,115867,1,50,50,9670.15,4752.76,9670.15,4752.76,33.1646
0,2048,100,2316.26,115813,1,50,50,202.009,-8616.16,202.009,-8616.16,25.7504
0,2049,100,2312.91,115645,1,50,50,9243.13,7510.87,9243.13,7510.87,67.1177
0,2051,100,2312.9,115645,1,50,50,8125.02,-7315.06,8125.02,-7315.06,62.6114
0,2052,100,2317.8,115890,1,50,50,-3234.47,5168.01,-3234.47,5168.01,75.2947
0,2053,100,2312.9,115645,1,50,50,-9671.07,-8200.04,-9671.07,-8200.04,45.3715
0,2055,100,2318.21,115910,1,50,50,2580.09,3881.52,2580.09,3881.52,66.6172
0,2058,100,2312.91,115645,1,50,50,5805.04,5574.61,5805.04,5574.61,43.3949
0,2060,100,2315.71,115785,1,50,50,8946.4,3620.05,8946.4,3620.05,65.2686
0,2061,100,2313.49,115675,1,50,50,-662.139,-5629.16,-662.139,-5629.16,47.328
0,2062,100,2421.81,121091,1,50,50,-2433.78,-9834.45,-2433.78,-9834.45,13.4888
0,2063,100,2315.98,115799,1,50,50,-7574.54,-8667.12,-7574.54,-8667.12,81.2571
0,2064,100,2319.6,115980,1,50,50,1597.23,-9852.84,1597.23,-9852.84,55.6279
0,2065,100,2315.51,115776,1,50,50,-4279.95,-3752.24,-4279.95,-3752.24,31.2152
0,2066,100,2410.18,120509,1,50,50,-5508.52,6533.82,-5508.52,6533.82,0.847146
0,2068,100,2312.11,115605,1,50,50,-4481.46,-132.478,-4481.46,-132.478,0.942595
0,2069,100,2312.91,115645,1,50,50,-3576.43,-3369.08,-3576.43,-3369.08,9.01204
0,2071,100,2312.91,115645,1,50,50,5904.96,6977.72,5904.96,6977.72,32.8207
0,2072,100,2316.9,115845,1,50,50,3487.62,-1308.84,3487.62,-1308.84,25.8358
0,2073,100,2312.84,115642,1,50,50,1246.59,7570.71,1246.59,7570.71,58.2519
0,2076,100,2790.12,139506,1,50,50,-7431.68,-7742.92,-7431.68,-7742.92,40.5519
0,2077,100,2311.5,115575,1,50,50,1340.22,1325.44,1340.22,1325.44,51.2287
0,2079,100,2309.04,115452,1,50,50,7428.52,4898.46,7428.52,4898.46,12.357
0,2080,100,2312.91,115645,1,50,50,-8170.39,-3512.6,-8170.39,-3512.6,69.668
0,2081,100,2317.65,115883,1,50,50,2237.81,3143.64,2237.81,3143.64,17.204
0,2083,100,2309.56,115478,1,50,50,1573.34,-2278.39,1573.34,-2278.39,1.92109
0,2084,100,2312.11,115605,1,50,50,5196.07,8743.45,5196.07,8743.45,49.2924
0,2085,100,2319.61,115980,1,50,50,7492.09,-9021.23,7492.09,-9021.23,13.3199
0,2086,100,2318.17,115909,1,50,50,8647.13,6843.26,8647.13,6843.26,82.8527
0,2087,100,2316.88,115844,1,50,50,-4562.45,1169.56,-4562.45,1169.56,85.3807
0,2088,100,2312.91,115645,1,50,50,9342.62,-1789.02,9342.62,-1789.02,96.5987
0,2089,100,2314.89,115745,1,50,50,-4156.44,-8632.64,-4156.44,-8632.64,34.7039
