runID,eventID,trackID,stepID,particle,bn_wt,zns_wt,thickness_um,capture_x_um,capture_y_um,capture_z_um,capture_depth_um,x_mid_um,y_mid_um,z_mid_um,depth_mid_um,step_len_um,edep_keV,ekin_pre_keV,ekin_post_keV
0,2846,2,1,alpha,50,50,100,7821.1,-4767.57,-45.2232,95.2232,7823.18,-4767.27,-45.4895,95.4895,4.25019,1472.39,1472.39,0
0,2847,4,1,Li7,50,50,100,-8289.32,2076.64,-19.5945,69.5945,-8288.88,2077.1,-19.909,69.909,1.42994,800.017,835.738,35.7207
0,2847,4,2,Li7,50,50,100,-8289.32,2076.64,-19.5945,69.5945,-8288.35,2077.66,-20.2677,70.2677,0.506863,35.7207,35.7207,0
0,2847,2,1,alpha,50,50,100,-8289.32,2076.64,-19.5945,69.5945,-8290.62,2075.25,-18.6619,68.6619,4.25037,1472.45,1472.45,0
0,2849,4,1,Li7,50,50,100,-5101.61,-4003.22,1.1808,48.8192,-5101.73,-4002.98,1.84,48.16,1.4321,717.125,842.045,124.92
0,2849,4,2,Li7,50,50,100,-5101.61,-4003.22,1.1808,48.8192,-5101.84,-4002.57,2.8697,47.1303,0.940254,124.92,124.92,0
0,2849,2,1,alpha,50,50,100,-5101.61,-4003.22,1.1808,48.8192,-5101.24,-4003.94,-0.778137,50.7781,4.2499,1472.28,1472.28,0
0,2850,4,1,Li7,50,50,100,-4992.76,-4607.04,-19.8248,69.8248,-4993.38,-4606.86,-20.1328,70.1328,1.43089,838.496,838.496,0
0,2850,2,1,alpha,50,50,100,-4992.76,-4607.04,-19.8248,69.8248,-4990.93,-4607.55,-18.9006,68.9006,4.24954,1472.14,1472.14,0
0,2851,4,1,Li7,50,50,100,-2118.01,7894.8,-6.129,56.129,-2118.25,7895.09,-5.52185,55.5218,1.43294,844.477,844.477,0
0,2851,2,1,alpha,50,50,100,-2118.01,7894.8,-6.129,56.129,-2117.29,7893.95,-7.93124,57.9312,4.25056,1472.53,1472.53,0
0,2852,4,1,Li7,50,50,100,-1049.01,2323.83,34.5441,15.4559,-1049.28,2324.26,35.0508,14.9492,1.43386,847.164,847.164,0
0,2852,2,1,alpha,50,50,100,-1049.01,2323.83,34.5441,15.4559,-1048.24,2322.56,33.0395,16.9605,4.25034,1472.44,1472.44,0
0,2854,4,1,Li7,50,50,100,-372.54,-7339.25,34.3485,15.6515,-373.121,-7338.87,34.5042,15.4958,1.4335,822.858,846.134,23.2759
0,2854,4,2,Li7,50,50,100,-372.54,-7339.25,34.3485,15.6515,-373.762,-7338.44,34.6918,15.3082,0.409152,23.2759,23.2759,0
