eventID,thickness_um,edep_keV
6,70,2312.56
22,70,2312.91
27,70,2313.16
32,70,2318.81
33,70,2308.84
42,70,2317.47
44,70,2314.56
53,70,2313.03
57,70,2312.91
68,70,2312.91
85,70,2318.58
92,70,2312.7
116,70,2316.39
121,70,2312.91
122,70,2312.4
123,70,2313.5
124,70,2317.72
127,70,2315.38
129,70,2790.12
137,70,2312.91
141,70,2315.39
146,70,2312.91
156,70,2313.42
168,70,2311.87
189,70,2313.07
199,70,2312.91
219,70,2315.47
229,70,2312.19
241,70,2312.91
247,70,2312.91
276,70,2312.91
290,70,2315.13
295,70,2315.03
301,70,2311.19
302,70,2318.53
305,70,2319.24
322,70,2314.76
339,70,2312.91
345,70,2312.91
347,70,2790.12
354,70,2312.91
366,70,2313.03
372,70,2312.91
374,70,2319.52
379,70,2311.15
382,70,2312.91
398,70,2317.83
409,70,2317.55
411,70,2312.91
424,70,853.09
439,70,2316.86
453,70,2316.74
466,70,2319.13
467,70,2314.99
468,70,991.069
479,70,2313.6
489,70,2318.46
490,70,2318.99
496,70,2312.91
519,70,2314.86
523,70,2314.79
528,70,2314.79
529,70,2239.64
535,70,2317.73
536,70,2317.37
545,70,2312.74
547,70,2312.91
552,70,2312.51
565,70,2790.12
566,70,2315.89
581,70,2317.57
595,70,2790.12
600,70,2313.63
605,70,2309.28
619,70,2315.18
641,70,2312.72
650,70,2313.5
672,70,2312.57
683,70,2314.47
688,70,2318.86
694,70,2314.22
695,70,2312.9
699,70,2319.32
749,70,2312.91
765,70,2319.47
768,70,2315.64
809,70,1162.6
822,70,2790.12
840,70,2314.11
854,70,2316.46
877,70,2318.9
890,70,2318.28
891,70,2790.12
897,70,2312.13
904,70,2316.85
908,70,2312.45
911,70,2311.33
915,70,2312.12
920,70,2319.39
926,70,2317.37
940,70,2313.4
951,70,2312.91
958,70,2316.81
971,70,2311.97
976,70,2308.88
985,70,2312.91
986,70,2312.91
995,70,2315.78
1009,70,2312.15
1012,70,2315.2
1015,70,2314.75
1025,70,2315.67
1026,70,2318.53
1028,70,2319.13
1031,70,2313.13
1053,70,2790.12
1065,70,2318.11
1091,70,2310.93
1106,70,2312.16
1136,70,2319.04
1144,70,2312.9
1162,70,2312.91
1187,70,2790.12
1188,70,2312.91
1206,70,2312.91
1211,70,2319.77
1219,70,2790.12
1227,70,2286.7
1258,70,2312.91
1270,70,2312.95
1279,70,2309.48
1289,70,2313.71
1293,70,2315.58
1303,70,2314.71
1315,70,2315.05
1318,70,2313.31
1319,70,2317.23
1320,70,1829.97
1336,70,2309.13
1358,70,2316.66
1374,70,2790.12
1378,70,2317.45
1387,70,2312.91
1388,70,2312.91
1395,70,2790.12
1399,70,2312.91
1403,70,2319.68
1437,70,2314.94
1438,70,2313.41
1443,70,2312.91
1458,70,2311.09
1459,70,2202.77
1477,70,2312.91
1478,70,2312.74
1488,70,2309.69
1502,70,2312.72
1507,70,2309.11
1508,70,2310.49
1509,70,2312.32
1510,70,2311.44
1515,70,2312.91
1520,70,2312.35
1528,70,2312.91
1539,70,2311
1553,70,2312.91
1563,70,2316.65
1569,70,2312.91
1574,70,2312.91
1591,70,2790.12
1598,70,2790.12
1600,70,2315.49
1610,70,2317.04
1611,70,2312.91
1615,70,2312.63
1627,70,2312.91
1634,70,2309.79
1638,70,2312.91
1639,70,2312.91
1642,70,2319.34
1658,70,2790.12
1664,70,2317.69
1680,70,2312.9
1690,70,2315.37
1697,70,2319.11
1703,70,2313.33
1705,70,2790.12
1707,70,1084.37
1719,70,2312.91
1721,70,2312.9
1729,70,2312.91
1732,70,2317.19
1741,70,2318.25
1748,70,993.903
1751,70,2315.43
1753,70,2312.9
1755,70,2312.61
1773,70,2312.91
1783,70,2312.91
1784,70,2316.4
1789,70,2319.86
1824,70,2318.13
1825,70,2311.47
1844,70,2314.13
1845,70,2318.43
1880,70,2309.59
1890,70,2313.12
1894,70,2312.91
1896,70,2215.65
1904,70,2312.91
1915,70,2314
1920,70,844.869
1924,70,2318.34
1927,70,2313.06
1938,70,2312.91
1946,70,2317.3
1949,70,2312.91
1952,70,2312.91
1957,70,2318.31
1958,70,2312.9
1964,70,2312.91
1965,70,2790.12
1976,70,2315.71
1983,70,2317.6
1995,70,2317.79
2005,70,2315.14
2006,70,2312.91
2020,70,2312.91
2035,70,2312.91
2036,70,2311.66
2045,70,2316.97
2092,70,1255.93
2094,70,2312.91
2122,70,2790.12
2135,70,2318.75
2136,70,2319.36
2149,70,2312.91
2152,70,2318.23
2160,70,2312.91
2161,70,2311.36
2184,70,2790.12
2185,70,2312.91
2188,70,2317.74
2194,70,2312.91
2205,70,2318.23
2206,70,2790.12
2218,70,2314.8
2225,70,2313.87
2233,70,2312.91
2267,70,2312.91
2277,70,2312.91
2304,70,2312.73
