eventID,thickness_um,bn_wt,zns_wt,capture_x_um,capture_y_um,corr_x_um,corr_y_um,depth_um
0,250,1,3,1013.87,-3483.2,0,0,146.733
2,250,1,3,-4265.65,-4326.57,0,0,236.243
11,250,1,3,2089.6,-1340.16,0,0,233.209
13,250,1,3,4577.12,-4681.47,0,0,109.671
15,250,1,3,-1272.73,4274.51,0,0,196.114
17,250,1,3,-3797.55,-2187.37,0,0,146.481
21,250,1,3,-2085.79,-4429.23,0,0,176.817
32,250,1,3,-4116.12,3489.45,0,0,158.585
45,250,1,3,252.395,-2748.46,0,0,237.28
48,250,1,3,1632.47,-2225.18,0,0,121.237
64,250,1,3,4639.23,4958.95,0,0,208.69
66,250,1,3,675.994,-3596.71,0,0,160.513
67,250,1,3,1179.76,-4817.75,0,0,81.8869
73,250,1,3,-3547.87,-4004.11,0,0,120.481
88,250,1,3,4705.6,2037.68,0,0,114.418
99,250,1,3,-2077.45,-465.211,0,0,128.174
109,250,1,3,-1971.13,2942.05,0,0,249.954
111,250,1,3,-869.075,599.069,0,0,70.1368
120,250,1,3,1014.01,3374.56,0,0,93.0104
152,250,1,3,3121.25,-1170.7,0,0,45.375
161,250,1,3,2164.68,2655.93,0,0,14.7285
166,250,1,3,2602.16,4763.88,0,0,191.188
170,250,1,3,4996.03,3375.71,0,0,35.9922
173,250,1,3,2531.39,2184.27,0,0,100.967
181,250,1,3,-3344.47,-4351.83,0,0,39.5528
185,250,1,3,4225.58,-95.5133,0,0,234.302
188,250,1,3,0.858959,799.687,0,0,12.0059
194,250,1,3,-4628.61,580.202,0,0,54.5621
207,250,1,3,-2508.43,853.849,0,0,213.924
209,250,1,3,-43.3115,1826.37,0,0,231.747
212,250,1,3,4693.39,-3899.88,0,0,147.802
223,250,1,3,2402.14,2903.69,0,0,70.0317
226,250,1,3,-2600.92,-1132.06,0,0,231.2
240,250,1,3,3476.57,586.39,0,0,31.4502
242,250,1,3,4921.37,-447.116,0,0,104.43
258,250,1,3,-1698.92,-671.295,0,0,74.0019
267,250,1,3,-1542.26,-3830.77,0,0,210.895
268,250,1,3,4031.64,1947.41,0,0,46.4662
286,250,1,3,-3246.04,-4342.99,0,0,136.348
289,250,1,3,4349.74,2338.98,0,0,70.6362
292,250,1,3,1258.72,-4342.57,0,0,91.3952
300,250,1,3,-3364.34,200.503,0,0,77.1571
305,250,1,3,4932.49,2007.85,0,0,39.5574
311,250,1,3,-2815.53,-2609.35,0,0,8.13156
335,250,1,3,3005.61,-4882.5,0,0,246.592
339,250,1,3,-3213.01,647.746,0,0,43.7451
341,250,1,3,-3896.6,-2607.25,0,0,129.034
344,250,1,3,2653.59,-4112.43,0,0,44.5975
351,250,1,3,-2446.56,-2307.9,0,0,200.099
354,250,1,3,-3514.68,-3798.25,0,0,7.17672
355,250,1,3,-3508.91,257.571,0,0,2.74331
363,250,1,3,-404.611,3120.38,0,0,142.937
373,250,1,3,-1994.25,-1070.24,0,0,52.8717
379,250,1,3,-1012.26,3657.81,0,0,244.602
394,250,1,3,-2341.15,-1483.5,0,0,95.0317
395,250,1,3,-1618.25,-2287.96,0,0,10.9197
397,250,1,3,-4210.58,1688.27,0,0,181.744
398,250,1,3,-1596.4,4263.08,0,0,168.883
410,250,1,3,-2589.59,-4938.15,0,0,213.151
414,250,1,3,3954.74,-3489.16,0,0,2.51708
418,250,1,3,-4073.89,-2685.59,0,0,36.5756
421,250,1,3,-1032.85,3818.8,0,0,2.06961
427,250,1,3,-4408,-3706.43,0,0,105.932
428,250,1,3,2719.7,242.161,0,0,171.335
433,250,1,3,-1688.75,160.796,0,0,168.859
435,250,1,3,3834.41,2163.43,0,0,41.5576
447,250,1,3,1834.04,-3868.56,0,0,212.351
451,250,1,3,-1179.49,3837.95,0,0,104.566
461,250,1,3,-2436.7,-375.767,0,0,146.531
469,250,1,3,3059.91,1199.96,0,0,35.5639
470,250,1,3,829.626,-2476.46,0,0,0.571534
476,250,1,3,-1688.01,475.696,0,0,227.867
481,250,1,3,-3236.58,-4111.87,0,0,113.01
488,250,1,3,684.768,2783.78,0,0,22.2903
513,250,1,3,3663.12,3564.43,0,0,105.683
514,250,1,3,2664.9,898.088,0,0,89.5479
516,250,1,3,4052.49,3214.34,0,0,245.582
521,250,1,3,3762.45,-2143.03,0,0,21.0762
529,250,1,3,-741.061,249.638,0,0,62.5807
533,250,1,3,-1029.69,-4206,0,0,109.884
559,250,1,3,1256.25,3054.19,0,0,232.952
581,250,1,3,-3661.54,-470.253,0,0,22.1867
582,250,1,3,3261,-3441.74,0,0,114.384
591,250,1,3,4390.73,3657.01,0,0,155.555
601,250,1,3,4011.42,-679.821,0,0,126.93
602,250,1,3,-1928.71,-4601.39,0,0,36.2091
603,250,1,3,-2667.91,3198.46,0,0,170.579
608,250,1,3,-3779.75,2020.3,0,0,95.12
611,250,1,3,-4577.73,4808.41,0,0,227.844
625,250,1,3,-859.654,-3272.73,0,0,37.3719
628,250,1,3,3961.56,-719.108,0,0,63.7216
630,250,1,3,-1902.79,-4448.2,0,0,171.434
640,250,1,3,-3477.92,-4166.99,0,0,218.655
648,250,1,3,401.301,1849.1,0,0,31.1832
664,250,1,3,3009.23,2542.43,0,0,113.343
676,250,1,3,-1540.83,2659.94,0,0,37.505
677,250,1,3,2606.36,1693.65,0,0,169.913
684,250,1,3,-2070.57,4320.21,0,0,224.223
685,250,1,3,3059.19,-4284.24,0,0,120.523
697,250,1,3,4661.93,-1174.19,0,0,218.269
698,250,1,3,516.592,3885.29,0,0,64.1749
706,250,1,3,-2771.57,2123.2,0,0,41.1796
727,250,1,3,-3275.47,-605.356,212.758,38.8215,113.804
731,250,1,3,-3831.03,1025.54,0,0,15.2469
