eventID,thickness_um,bn_wt,zns_wt,capture_x_um,capture_y_um,corr_x_um,corr_y_um,depth_um
27,60,1,3,-1896.35,-2402.86,0,0,53.1457
72,60,1,3,3920.38,4986.67,0,0,36.244
76,60,1,3,-2651.5,-431.697,0,0,2.19715
77,60,1,3,4533.58,2950.35,0,0,34.4504
98,60,1,3,-2787.53,4577.51,0,0,39.6407
132,60,1,3,-2266.95,-650.262,0,0,33.7999
153,60,1,3,-4525.9,2042.26,0,0,37.0788
183,60,1,3,-3563.32,-1425.87,0,0,26.8199
188,60,1,3,-2833.28,2628.91,0,0,23.6358
232,60,1,3,928.506,-337.862,0,0,56.1738
248,60,1,3,177.261,-717.975,0,0,37.5123
286,60,1,3,3803.82,694.93,0,0,11.2196
301,60,1,3,-2163.79,-3033.36,0,0,58.9624
323,60,1,3,3942.45,2136.5,0,0,46.5003
388,60,1,3,-544.766,4676.92,0,0,5.03983
414,60,1,3,-1476.31,-1636.59,0,0,49.1799
420,60,1,3,-90.789,-1109.25,0,0,59.0789
458,60,1,3,-3878.13,-1870.08,0,0,59.9259
503,60,1,3,1969.37,4227.39,0,0,7.72504
518,60,1,3,3943.25,4000.46,0,0,6.14867
528,60,1,3,-3768.31,-4392.08,0,0,11.6849
551,60,1,3,-544.876,2827.11,0,0,6.66458
584,60,1,3,1813.06,-2753.09,0,0,57.4625
591,60,1,3,3966.39,-4627.73,0,0,43.6871
593,60,1,3,-733.747,-3648.72,0,0,49.2559
600,60,1,3,3559.28,3814.19,0,0,28.3348
623,60,1,3,2629.42,4877.09,0,0,33.3403
683,60,1,3,407.4,-3117.3,0,0,9.46382
688,60,1,3,-3989.78,-3609.31,0,0,29.9436
708,60,1,3,-3659.9,2371.94,0,0,21.3008
721,60,1,3,-1095.18,-2777.03,0,0,21.9356
778,60,1,3,-919.707,-3730,0,0,26.1071
786,60,1,3,0.352814,-2640.65,0,0,8.40511
789,60,1,3,2589.25,2702.63,0,0,53.5585
851,60,1,3,2588.34,235.904,0,0,21.9009
857,60,1,3,1629.22,-4358.85,0,0,56.7564
955,60,1,3,-2623.03,-4603.2,0,0,4.44175
974,60,1,3,2359.4,-1038.68,0,0,7.22023
1009,60,1,3,1437.87,-1073.99,0,0,1.45918
1035,60,1,3,-2866.17,2871.03,0,0,42.9291
1038,60,1,3,2355.77,2913.53,0,0,43.3044
1063,60,1,3,-2412.33,1654.76,0,0,23.7187
1102,60,1,3,-2613.8,-3174.46,0,0,57.3968
1113,60,1,3,81.4647,1249.35,-11.8095,-14.1797,50.0532
1127,60,1,3,4543.23,3493.33,0,0,9.40523
1131,60,1,3,111.997,1595.42,0,0,30.1481
1144,60,1,3,-2746.92,716.061,0,0,29.1936
1149,60,1,3,-2706.99,861.689,0,0,18.7387
1154,60,1,3,-1367.15,-4916.05,0,0,30.1844
1185,60,1,3,600.56,-4254.85,0,0,45.4484
1196,60,1,3,80.3825,-1776.54,0,0,47.9579
1337,60,1,3,-571.169,2045.48,0,0,36.908
1343,60,1,3,2344.01,507.205,0,0,6.92107
1392,60,1,3,-2941.64,1558.73,0,0,5.27377
1399,60,1,3,3710.21,3768.15,0,0,49.0196
1427,60,1,3,56.8149,401.198,0,0,13.1564
1440,60,1,3,-2145.88,-4378.93,0,0,55.2594
1449,60,1,3,-2318.39,-2881.36,0,0,51.3987
1520,60,1,3,-196.345,651.63,0,0,50.2281
1536,60,1,3,35.7421,777.756,0,0,50.0385
1616,60,1,3,-225.293,-3584.98,0,0,53.4884
1626,60,1,3,-2004.56,-798.495,0,0,25.4296
1637,60,1,3,1951.46,3623.96,0,0,46.6103
1655,60,1,3,1744.3,877.987,0,0,35.7173
1738,60,1,3,1437.82,3951.8,0,0,34.0693
1744,60,1,3,-2442.89,-4893.71,0,0,42.4906
1745,60,1,3,509.118,-1692.1,0,0,17.2258
1800,60,1,3,242.248,-3687.48,0,0,16.2345
1801,60,1,3,-2222.61,2197.19,0,0,15.2437
1809,60,1,3,-2997.11,-1836.47,0,0,41.1465
1840,60,1,3,2128.86,-3431.51,0,0,24.4168
1875,60,1,3,1480.43,4375.47,0,0,48.4586
1904,60,1,3,4263.55,4611.27,0,0,56.1166
1913,60,1,3,-3358.66,-1581.86,0,0,6.86626
1989,60,1,3,-4889.48,-1791.22,0,0,52.9365
2030,60,1,3,-4423.51,4140.39,0,0,18.1358
2046,60,1,3,-4808.33,4777.03,0,0,36.1157
2094,60,1,3,-2738.17,-165.552,0,0,59.3106
2119,60,1,3,-2912.25,-2319.08,0,0,14.3593
2139,60,1,3,-1277.05,954.038,0,0,13.8133
2225,60,1,3,3078.24,602.524,0,0,19.7794
2238,60,1,3,-3867.1,3393.52,0,0,38.7292
2268,60,1,3,-3134.65,-4246.29,0,0,51.2991
2377,60,1,3,1997.74,-3348.33,0,0,17.4001
2378,60,1,3,-2964.04,338.135,0,0,15.5413
2409,60,1,3,-3205.14,-4917.5,0,0,40.2753
2428,60,1,3,4867.09,3725.48,0,0,51.0858
2434,60,1,3,-2753.78,3889.07,0,0,40.6622
2444,60,1,3,-398.217,4789.1,0,0,52.2002
2450,60,1,3,-1142.17,406.017,0,0,52.2521
2458,60,1,3,3206.09,3567.47,0,0,52.1504
2511,60,1,3,-2097.54,3219.44,0,0,25.076
2523,60,1,3,-2577.35,-4884.49,0,0,22.7375
2526,60,1,3,-1985.38,4371.65,0,0,15.0641
2539,60,1,3,-3228.68,-449.307,0,0,55.6427
2565,60,1,3,-1002.01,3162.07,0,0,14.1889
2593,60,1,3,1707.95,-606.138,0,0,32.649
2642,60,1,3,-2343.4,-3265.41,0,0,20.9632
2644,60,1,3,869.345,4798.93,0,0,46.3245
2675,60,1,3,-3633.89,286.132,0,0,6.28735
2689,60,1,3,-2768.37,3977.37,0,0,4.13663
2759,60,1,3,-1783.24,2803.72,0,0,34.0497
2764,60,1,3,-237.266,1128.42,0,0,59.0703
2779,60,1,3,4993.33,692.258,0,0,23.5348
2815,60,1,3,-2505.47,369.8,0,0,43.6802
2821,60,1,3,3014.35,947.459,0,0,31.0944
2881,60,1,3,1611.46,78.3553,0,0,45.3788
2901,60,1,3,3456.85,4748.15,0,0,38.9684
2913,60,1,3,-408.713,4565.3,0,0,4.492
2914,60,1,3,-3271.42,-3860.93,0,0,58.6476
2920,60,1,3,-1349.99,-3831.04,0,0,17.7342
2946,60,1,3,514.149,-1584.49,0,0,27.4128
2956,60,1,3,4501.58,-1377.05,0,0,33.6758
2960,60,1,3,3149.75,2583.91,0,0,17.2013
3004,60,1,3,-4437.5,-2140.16,0,0,44.6192
3007,60,1,3,-117.341,-4750.13,0,0,41.1379
3046,60,1,3,1383.03,-4791.88,0,0,11.5626
3050,60,1,3,-1972.76,3158.59,0,0,26.6571
3061,60,1,3,-1915.19,2313.55,0,0,53.5121
3096,60,1,3,3767.43,464.502,-5.7945,-29.4881,53.7082
3128,60,1,3,-4204.44,-1827.69,0,0,8.39101
3144,60,1,3,3072.53,1241.67,0,0,26.0321
3153,60,1,3,-3134.88,-2708.72,0,0,45.1005
3155,60,1,3,4490.46,-3406.82,0,0,39.7348
3159,60,1,3,-3211.4,4077.99,0,0,14.2106
3189,60,1,3,-2935.14,1213.07,0,0,39.2303
3220,60,1,3,-2342.86,3302.2,214.431,-49.2143,30.7491
3245,60,1,3,1826.71,-4603.68,0,0,21.684
3248,60,1,3,-385.498,-1400.43,0,0,24.3115
3275,60,1,3,-189.026,-2497.63,0,0,49.2369
3279,60,1,3,4437.99,3034.9,0,0,43.8341
3311,60,1,3,640.783,980.383,0,0,30.1411
3322,60,1,3,3539.13,-3171.41,0,0,8.05082
3334,60,1,3,45.6891,-3962.17,0,0,41.9081
3390,60,1,3,-386.476,4123.43,0,0,41.005
3418,60,1,3,3117.78,1768.01,0,0,6.7196
3439,60,1,3,3970.73,-27.6557,0,0,40.3608
3509,60,1,3,868.402,-1252.57,0,0,43.861
3563,60,1,3,-1118.7,4352.02,0,0,5.67901
3583,60,1,3,1274.69,-356.907,0,0,45.7277
3584,60,1,3,2916.9,3628.81,0,0,31.1516
3620,60,1,3,1996.5,3512.38,0,0,6.96322
3628,60,1,3,3728.59,4593.79,0,0,1.73839
3630,60,1,3,2481.51,-3255.45,0,0,8.36013
3656,60,1,3,-1800.37,3968.4,0,0,44.1402
3667,60,1,3,-891.358,3243.69,0,0,12.8037
3681,60,1,3,958.685,-2383.29,0,0,4.36791
3683,60,1,3,-4380.6,-1690.24,0,0,14.4297
3684,60,1,3,4416.65,3148.47,0,0,17.6552
3691,60,1,3,-4922.4,1986.02,0,0,9.38271
3723,60,1,3,-834.896,-3889.91,0,0,47.2916
3736,60,1,3,-2725.23,2476.78,0,0,42.8028
3815,60,1,3,-2724.4,-2893.87,453.955,-233.334,31.6779
3907,60,1,3,-4130.13,-4509.44,0,0,0.0752535
3917,60,1,3,-3886.75,3223.74,0,0,50.0447
3928,60,1,3,-841.478,-4195.77,0,0,3.45704
3942,60,1,3,1601.53,1046.4,-29.1122,26.764,40.6261
3952,60,1,3,3534.41,-3045.3,0,0,4.28994
3965,60,1,3,4568.46,-3975.14,0,0,2.39574
3994,60,1,3,2356.34,409.048,0,0,20.6688
4044,60,1,3,1252.85,-451.286,0,0,11.461
4061,60,1,3,2628.63,4304.33,0,0,55.9329
4075,60,1,3,-709.579,-2851.3,0,0,18.2161
4082,60,1,3,-762.708,2091.37,0,0,39.8839
4098,60,1,3,2036.3,2626.62,0,0,7.71547
4105,60,1,3,-898.874,-3838.21,0,0,50.5916
4136,60,1,3,3427.42,-3977.04,0,0,3.28684
4171,60,1,3,-962.839,-744.818,0,0,48.7018
4176,60,1,3,3563.68,-1664.87,0,0,3.91364
4179,60,1,3,-1590.2,2822.75,0,0,31.51
4191,60,1,3,-4682.46,-127.39,0,0,9.8526
4226,60,1,3,-764.958,171.764,0,0,0.28578
4238,60,1,3,1095.43,-4835.53,0,0,58.3805
4248,60,1,3,3886.82,-4222.84,0,0,17.6736
4274,60,1,3,1251.12,-1422.96,0,0,40.8541
4296,60,1,3,659.278,-937.946,0,0,8.11214
4321,60,1,3,-2804.5,-151.551,0,0,59.3066
4322,60,1,3,-4889.36,2085.03,0,0,19.8096
4359,60,1,3,-4823.16,-871.57,0,0,36.3894
