eventID,thickness_um,edep_keV
1,300,2313.95
2,300,2317.33
3,300,2312.9
17,300,2311.07
18,300,2790.12
19,300,2314.28
26,300,2309.38
31,300,2312.91
32,300,2534.85
33,300,2314.47
38,300,2312.94
40,300,2312.91
43,300,2312.91
56,300,2314.63
58,300,2317.75
65,300,2312.9
69,300,2790.12
73,300,2312.91
74,300,2312.9
77,300,2312.91
79,300,2312.91
86,300,2315.86
94,300,2312.91
96,300,2352.84
101,300,2314.48
103,300,2312.91
111,300,2318.29
117,300,2318.47
118,300,2312.88
125,300,2312.91
127,300,2312.8
136,300,2319.42
143,300,2312.91
144,300,2312.91
150,300,2312.91
155,300,2313.8
159,300,2312.91
162,300,2312.91
163,300,2312.9
165,300,2312.91
169,300,2319.45
182,300,2318.26
184,300,2319.65
192,300,2443.25
193,300,2313.21
199,300,2316.19
203,300,2314.06
207,300,2312.91
209,300,2790.12
216,300,2312.91
218,300,2316.44
221,300,2314.86
228,300,2312.7
230,300,2317.36
234,300,2312.9
236,300,2318.02
237,300,2312.91
248,300,2316.59
253,300,2314.47
255,300,2312.96
260,300,2312.91
263,300,2790.12
264,300,2311.34
295,300,2312.91
316,300,2312.91
318,300,2316.83
320,300,2312.91
330,300,2312.91
334,300,2317.01
341,300,2577.88
353,300,2312.1
357,300,2314.88
359,300,2319.02
366,300,2319.1
367,300,2312.9
368,300,2319.8
372,300,2311.92
380,300,2319.7
381,300,2312.91
384,300,2314.61
385,300,2312.91
388,300,2319.54
391,300,2312.91
393,300,2316.32
399,300,2312.91
401,300,2317.38
402,300,2790.12
407,300,2315.82
408,300,2318.14
410,300,2316.67
412,300,2318.44
413,300,2312.91
421,300,2312.37
424,300,2312.91
427,300,2312.1
429,300,2312.91
434,300,2312.91
441,300,2312.9
445,300,2316.89
454,300,2315.98
455,300,2311.45
464,300,2313.06
477,300,2313.93
485,300,2312.91
491,300,2316.47
496,300,2312.91
502,300,2312.91
505,300,2372.91
510,300,2313.56
516,300,2316.31
523,300,2313.42
525,300,2312.91
527,300,2315.32
529,300,2312.91
540,300,2318.21
542,300,2315.97
545,300,2319.67
546,300,2790.12
547,300,2312.71
556,300,2790.12
561,300,2452.27
566,300,2790.12
570,300,2311.97
572,300,2312.91
575,300,2314.8
580,300,2312.91
581,300,2312.91
583,300,2314.41
587,300,2315.56
593,300,2313.73
597,300,2312.9
600,300,2316.24
604,300,2790.12
606,300,2312.91
616,300,2342.52
632,300,2317.46
636,300,2312.91
643,300,2312.91
647,300,2319.62
649,300,2313.83
658,300,2312.91
666,300,2318.7
668,300,2312.91
669,300,2313.29
675,300,2316.14
679,300,2312.92
680,300,2318.73
685,300,2318.18
689,300,2312.91
690,300,2312.21
694,300,2312.91
699,300,2312.91
704,300,2311.63
705,300,2312.91
714,300,2319.59
715,300,2319.22
719,300,2311.78
723,300,2312.91
725,300,2313.23
728,300,2315.86
734,300,2318.33
