eventID,thickness_um,edep_keV
10,60,2314.73
11,60,2311.04
30,60,2312.91
36,60,2312.91
52,60,2315.01
66,60,2312.91
71,60,2313.08
107,60,2315.22
122,60,2319.8
123,60,2309.71
146,60,2311.59
161,60,2312.91
170,60,2313.44
185,60,2323.77
193,60,2311.09
202,60,2312.91
208,60,2312.91
249,60,2312.91
256,60,2790.12
292,60,2316.61
305,60,2790.12
326,60,2319.59
365,60,2314.66
366,60,2312.91
408,60,2790.12
421,60,2790.12
431,60,2315.6
444,60,2318.78
451,60,2315.25
459,60,1259.97
473,60,2312.91
511,60,2311.13
559,60,2319.53
589,60,2317.15
600,60,2311.78
601,60,2312.91
615,60,2312.71
617,60,2318.34
623,60,2312.91
659,60,2790.12
664,60,2317.67
670,60,2312.91
678,60,2314.06
687,60,2790.12
692,60,2314.78
694,60,2312.08
724,60,957.55
730,60,2308.94
753,60,1014.99
755,60,2315.49
760,60,2312.91
801,60,2312.91
809,60,2314.24
853,60,2312.48
865,60,2312.91
872,60,2314.58
880,60,2317.45
881,60,2317.61
900,60,2316.84
923,60,2316.13
930,60,2316.47
935,60,2314.17
938,60,2312.91
946,60,2317.02
951,60,2319.28
955,60,2312.91
973,60,2313.77
989,60,2314.3
996,60,2312.91
998,60,2312.91
1005,60,2317.04
1011,60,2312.13
1027,60,2317.78
1053,60,2314.47
1063,60,2312.88
1080,60,2315.8
1081,60,2312.91
1096,60,2315.37
1101,60,2316.66
1120,60,2312.69
1121,60,2312.91
1125,60,2312.9
1132,60,2315.72
1134,60,2318.05
1135,60,2318.5
1150,60,1363.75
1161,60,2316.98
1164,60,2313.79
1180,60,2312.18
1197,60,2311.08
1221,60,2312.91
1258,60,2315.28
1260,60,2309.65
1300,60,2312.91
1307,60,2318.22
1313,60,2313.26
1330,60,2311.22
1331,60,2313.36
1337,60,2312.91
1338,60,2314.01
1368,60,2312.9
1458,60,2316.43
1467,60,2319.9
1474,60,2314.53
1479,60,2312.91
1491,60,2313.78
1502,60,2312.91
1522,60,2318.27
1524,60,2312.9
1539,60,2312.91
1557,60,2314.55
1561,60,2312.91
1579,60,2312.77
1602,60,2312.9
1620,60,2316.17
1626,60,2316.11
1669,60,2312.26
1700,60,2312.91
1719,60,2313.7
1733,60,2314.74
1744,60,2318.87
1751,60,2311.08
1754,60,2316.89
1765,60,2312.97
1786,60,2311.66
1797,60,2310.62
1804,60,2311.16
1810,60,2312.91
1815,60,2157.02
1875,60,2312.91
1880,60,2309.56
1889,60,2318.01
1902,60,2315.77
1916,60,2312.91
1918,60,2312.91
1921,60,2315.28
1923,60,2313.18
1929,60,2311.81
1944,60,2312.91
1950,60,2312.91
1956,60,2312.91
1966,60,2314.46
1969,60,2313.98
1989,60,2314.74
1995,60,2319.85
2028,60,2312.63
2039,60,1059.1
2042,60,2310.26
2060,60,2312.54
2068,60,2312.91
2072,60,2315.6
2076,60,2316.87
2078,60,2315.99
2091,60,2311.83
2093,60,2312.56
2094,60,2312.91
2097,60,2319.47
2105,60,2317.04
2113,60,2312.91
2116,60,2311.72
2135,60,2314.89
2151,60,2309.77
2160,60,2312.9
2167,60,2312.91
2183,60,2317.63
2184,60,2315.01
2194,60,2312.91
2215,60,2311.32
2230,60,2311.17
2235,60,2312.91
2239,60,2790.12
2294,60,2315.53
2309,60,2312.91
2326,60,2315.3
2347,60,2314.44
2354,60,1100.46
2360,60,2312.91
2378,60,2318.45
2410,60,2312.91
2416,60,2315.66
2419,60,2312.71
2423,60,2312.91
2430,60,2312.9
2432,60,2319.81
2454,60,1172.09
2492,60,1822.65
2509,60,2313.9
2527,60,2309.35
2534,60,1456.34
2535,60,2315.84
2550,60,2312.91
2563,60,2312.91
2564,60,2315.45
2585,60,2309.05
2595,60,2790.12
2616,60,2311.09
2627,60,2314.89
2653,60,2312.91
2668,60,2316.73
2680,60,2312.6
2681,60,2312.91
2690,60,2311.27
2700,60,2319.87
2705,60,2317.81
2757,60,2316.11
2791,60,2312.91
2793,60,2314.19
2808,60,2311.54
2844,60,2317.8
2848,60,2315.91
2872,60,2319.26
2882,60,2312.91
2885,60,2319.56
2904,60,2313.79
2905,60,2314.75
2911,60,2312.91
2912,60,2312.91
2934,60,2312.91
2939,60,2313.39
2953,60,2312.91
2969,60,2312.9
2986,60,2312.91
3001,60,2313.52
3009,60,2312.91
3026,60,2314.89
3028,60,2312.91
3046,60,2313.75
3054,60,2312.91
3092,60,2313.23
3104,60,2312.76
3119,60,2314.62
3121,60,2313.26
3129,60,2312.91
3150,60,2312.89
3153,60,2312.7
3156,60,1255.21
3167,60,2318.25
3231,60,2319.36
3256,60,2317.56
3261,60,2312.91
3273,60,2313.8
3294,60,2315.23
3313,60,2313.72
3328,60,2312.91
3331,60,2312.91
3364,60,2312.91
3402,60,2312.91
3410,60,2317.11
3415,60,2312.91
3422,60,2790.12
3433,60,2312.91
3510,60,2313.28
3530,60,2310.65
3536,60,2316.52
3562,60,2318.52
3577,60,2311
3579,60,2315.65
3597,60,2790.12
3607,60,2317.35
3642,60,2310.93
3647,60,1331.97
3670,60,2319.56
3711,60,2315.24
3734,60,2312.91
3745,60,2316.42
3758,60,2790.12
3761,60,2312.91
3767,60,2790.12
3774,60,2312.91
3789,60,2313.36
3798,60,2312.84
3819,60,1281.26
3824,60,2312.9
3836,60,2312.9
3841,60,2312.91
3877,60,2312.91
3879,60,2311.14
3880,60,2316.8
3921,60,2316.18
3923,60,2315.83
3932,60,2312.91
3952,60,2319.86
3960,60,2310.4
3964,60,2312.51
3988,60,2317.87
3996,60,1244.64
3999,60,2790.12
4000,60,2318.45
4041,60,2314.18
4061,60,1831.67
4064,60,2312.91
4088,60,2313.06
4126,60,2312.91
4169,60,2315.51
4179,60,2318.47
4182,60,2315.44
4192,60,2312.37
4199,60,2318.81
4211,60,2319.03
4247,60,2318.36
4255,60,2312.91
4257,60,2309.96
4265,60,2312.91
4276,60,2312.12
4322,60,2315.06
4326,60,2312.94
4377,60,2312.91
4404,60,2315.47
4420,60,2312.91
4438,60,2319.04
4446,60,2314.05
4455,60,2318.59
4478,60,2313.21
4487,60,2319.24
4493,60,2312.91
4511,60,2319.68
4521,60,2312.91
4532,60,1622.74
4541,60,2316.69
4550,60,2318.59
4553,60,2312.91
4585,60,2313.83
4610,60,2315.49
4638,60,2313.65
4644,60,1689.15
4649,60,2317.54
4653,60,2316.54
4661,60,2312.91
4662,60,2312.91
4681,60,2312.91
4692,60,2314.63
4742,60,2313.79
4765,60,2313.99
4771,60,2313.37
4786,60,2317.29
4796,60,2318.3
4797,60,2309
4802,60,2790.12
4809,60,2312.91
4820,60,2318.6
4856,60,2317.15
4896,60,2319.27
4897,60,2312.71
4916,60,2312.91
4927,60,2316.56
4933,60,2317.77
4943,60,2312.91
4961,60,2316.38
4966,60,2314.23
4967,60,2312.91
5036,60,2318.41
5050,60,2312.9
5072,60,2313.9
5075,60,2312.91
5076,60,2314.78
5108,60,2312.91
5113,60,2319.2
5128,60,2312.9
5148,60,2312.91
5167,60,2313.95
5174,60,2314
5179,60,2311.55
5183,60,2317.84
5217,60,2315.96
5221,60,2312.91
5256,60,2315.46
5289,60,2309.19
5293,60,2316.92
5295,60,2357.94
5298,60,2315
5317,60,2312.91
5332,60,2317.95
5351,60,2790.12
5368,60,2316.83
5382,60,2312.91
5383,60,2790.12
5397,60,2312.91
5399,60,2316.04
5408,60,2318.93
5420,60,2312.06
5422,60,2319.77
5429,60,2312.9
5433,60,2317.07
5441,60,2310.92
5443,60,2310.95
5450,60,2313.61
5452,60,2312.36
5475,60,2351.37
5484,60,2315.49
5503,60,2314.6
5540,60,2312.91
5558,60,2312.91
5583,60,2312.53
5590,60,2790.12
5596,60,2311.14
5616,60,2790.12
5636,60,2315.23
5637,60,2312.91
5644,60,2312.91
5659,60,2311.39
5667,60,2312.9
5691,60,2790.12
5692,60,2312.91
5708,60,2313.69
5737,60,2319.3
5751,60,2790.12
5759,60,2312.48
5791,60,2311.36
5792,60,2314.56
5798,60,2312.91
5800,60,2314.24
5821,60,2314.12
5849,60,2314.36
5870,60,2312.57
5878,60,2317.05
5885,60,2314.67
5898,60,2314.16
5914,60,2316.05
5922,60,2312.91
5947,60,2313.04
5953,60,2312.91
5956,60,2316.43
5958,60,2318.08
5963,60,2318.68
5979,60,2312.9
5981,60,1919.43
5990,60,2312.9
6003,60,2313.2
6006,60,2319
6017,60,2312.55
6024,60,2790.12
6060,60,2312.91
6069,60,2315.35
6079,60,2317.47
6095,60,2313.24
6102,60,2790.12
