eventID,thickness_um,edep_keV
2,300,2312.91
3,300,2317.26
5,300,2312.91
7,300,2790.12
8,300,2312.9
12,300,2312.91
15,300,2315.91
16,300,2312.91
19,300,2311.84
20,300,2312.16
22,300,2313.11
27,300,2318.95
28,300,2319.52
39,300,2312.91
42,300,2790.12
43,300,2311.63
53,300,2312.95
54,300,2312.91
56,300,2312.9
60,300,2319.83
61,300,2312.9
62,300,2314.17
64,300,2312.83
68,300,2312.91
71,300,2312.91
72,300,2319.46
76,300,2790.12
78,300,2790.12
79,300,2311.68
85,300,2313.4
87,300,2316.49
89,300,2311.4
94,300,2313.99
95,300,2312.9
97,300,2312.91
98,300,2313.75
100,300,2790.12
102,300,2319.19
111,300,2312.91
112,300,2311.3
113,300,2312.45
117,300,2316.39
120,300,2312.91
121,300,2310.96
132,300,2317.25
133,300,2312.91
134,300,2314.11
138,300,2314.46
139,300,2312.9
140,300,2316.06
144,300,2313.19
145,300,2315.67
146,300,2312.91
150,300,2311.42
152,300,2312.91
156,300,2313.46
160,300,2319.77
171,300,2311.17
172,300,2318.57
173,300,2312.91
179,300,2790.12
184,300,2312.91
186,300,2312.91
190,300,2318.97
191,300,2312.91
193,300,2312.91
196,300,2319.04
203,300,2312.91
205,300,2317.83
207,300,2312.9
208,300,2311.93
210,300,2312.91
211,300,2312.91
216,300,2312.91
218,300,2312.91
219,300,2312.91
221,300,2312.91
222,300,2790.12
223,300,2312.9
225,300,2311.46
227,300,2318.98
230,300,2790.12
231,300,2314.72
233,300,2510.86
234,300,2313.78
235,300,2314.22
241,300,2316.64
246,300,2312.91
250,300,2312.91
255,300,2312.91
257,300,2316.73
258,300,2312.91
261,300,2312.91
262,300,2315.41
268,300,2318.18
271,300,2317.41
286,300,2312.9
289,300,2312.91
290,300,2313.22
291,300,2311.56
303,300,2312.91
307,300,2315.95
308,300,2312.91
309,300,2312.91
311,300,2312.91
316,300,2312.32
318,300,2312.91
319,300,2318.01
321,300,2318.7
325,300,2317.12
328,300,2311.64
333,300,2312.91
338,300,2312.9
340,300,2318.08
343,300,2311.49
345,300,2312.91
347,300,2314.71
352,300,2312.91
354,300,2312.91
355,300,2790.12
356,300,2312.91
358,300,2312.91
360,300,2312.91
362,300,2313.36
363,300,2315.9
364,300,2790.12
366,300,2312.9
367,300,2313.45
373,300,2312.91
